-181.257, 67.961, 2.714,  6.550
-181.260, 67.870, 2.722,  6.583
-181.263, 67.779, 2.731,  6.616
-181.266, 67.688, 2.740,  6.649
-181.269, 67.597, 2.749,  6.682
-181.272, 67.505, 2.758,  6.715
-181.275, 67.413, 2.767,  6.748
-181.278, 67.320, 2.776,  6.781
-181.281, 67.228, 2.786,  6.814
-181.284, 67.135, 2.795,  6.847
-181.287, 67.041, 2.804,  6.880
-181.290, 66.948, 2.813,  6.913
-181.293, 66.854, 2.822,  6.946
-181.296, 66.759, 2.832,  6.979
-181.299, 66.665, 2.841,  7.012
-181.301, 66.570, 2.850,  7.045
-181.304, 66.475, 2.860,  7.078
-181.307, 66.379, 2.869,  7.111
-181.309, 66.283, 2.879,  7.144
-181.312, 66.187, 2.888,  7.177
-181.314, 66.091, 2.898,  7.210
-181.317, 65.994, 2.907,  7.243
-181.319, 65.897, 2.917,  7.276
-181.322, 65.799, 2.926,  7.309
-181.324, 65.702, 2.936,  7.342
-181.327, 65.603, 2.946,  7.375
-181.329, 65.505, 2.955,  7.408
-181.331, 65.406, 2.965,  7.441
-181.333, 65.307, 2.975,  7.474
-181.335, 65.208, 2.984,  7.507
-181.338, 65.108, 2.994,  7.540
-181.340, 65.008, 3.004,  7.573
-181.342, 64.908, 3.014,  7.606
-181.344, 64.807, 3.024,  7.639
-181.346, 64.706, 3.034,  7.672
-181.347, 64.605, 3.044,  7.705
-181.349, 64.503, 3.054,  7.738
-181.351, 64.401, 3.064,  7.771
-181.353, 64.299, 3.074,  7.804
-181.354, 64.196, 3.085,  7.837
-181.356, 64.093, 3.095,  7.870
-181.358, 63.989, 3.105,  7.903
-181.359, 63.886, 3.115,  7.936
-181.361, 63.782, 3.125,  7.969
-181.362, 63.677, 3.136,  8.002
-181.364, 63.572, 3.146,  8.035
-181.365, 63.467, 3.157,  8.068
-181.366, 63.362, 3.167,  8.101
-181.368, 63.256, 3.178,  8.134
-181.369, 63.150, 3.188,  8.167
-181.370, 63.043, 3.199,  8.200
-181.371, 62.936, 3.209,  8.233
-181.372, 62.829, 3.220,  8.266
-181.373, 62.721, 3.231,  8.299
-181.374, 62.614, 3.241,  8.332
-181.375, 62.505, 3.252,  8.365
-181.376, 62.397, 3.263,  8.398
-181.377, 62.288, 3.273,  8.431
-181.378, 62.178, 3.284,  8.464
-181.379, 62.068, 3.295,  8.497
-181.380, 61.958, 3.306,  8.530
-181.381, 61.848, 3.317,  8.563
-181.382, 61.737, 3.328,  8.596
-181.382, 61.626, 3.339,  8.629
-181.383, 61.514, 3.350,  8.662
-181.384, 61.402, 3.361,  8.695
